ID with leading,cohort,cohort term,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,2012 Loan,2012 Scholarship,2012 Work/Study,2012 Grant,2013 Loan,2013 Scholarship,2013 Work/Study,2013 Grant,2014 Loan,2014 Scholarship,2014 Work/Study,2014 Grant,2015 Loan,2015 Scholarship,2015 Work/Study,2015 Grant,2016 Loan,2016 Scholarship,2016 Work/Study,2016 Grant,2017 Loan,2017 Scholarship,2017 Work/Study,2017 Grant
0297957,2011-12,1,Single,0,0,College,High School,On Campus Housing,3500,,,10714,5500,,,11095,,,,,,,,,,,,,,,,
0302040,2011-12,1,Single,18096,0,High School,High School,Off Campus,12500,,,3500,6250,,,,,,,,,,,,,,,,,,,
0234532,2011-12,1,Single,12383,0,High School,High School,Off Campus,,,,7432,5500,,,,,,,,,,,,,,,,,,,
0303486,2011-12,1,Married,59303,0,High School,Middle School,Off Campus,4750,,,850,2750,,,1650,10500,,,3146,5206,,,4580,,,,691,8385,,,2233
0304316,2011-12,1,Single,25133,0,Unknown,High School,,,,,,,,,,,,,,,,,,,,,,,,,
0302808,2011-12,1,Single,15971,0,Middle School,High School,Off Campus,6500,,,5550,8000,,,2888,,,,,,,,,,,,,,,,
0304266,2011-12,1,Single,0,10551,High School,High School,On Campus Housing,12500,,,,10500,,,4857,10500,,,5645,,,,,,,,,,,,
0292741,2011-12,1,Single,0,87131,High School,High School,With Parent,10500,,,,12500,,,,,,,,,,,,,,,,,,,
0296902,2011-12,1,Single,19709,0,Unknown,High School,Off Campus,2500,8271,,5550,,7871.8,,5550,,,,,,,,,,,,,,,,
0302171,2011-12,1,Single,42557,0,High School,High School,Off Campus,3750,,,,,,,,,,,,,,,,,,,,,,,
0303077,2011-12,1,Single,0,984,College,College,Off Campus,,,,2775,,,,,,,,,,,,,,,,,,,,
0273529,2011-12,1,Single,0,18859,High School,High School,With Parent,2750,,,11588,850,,,11790,4000,,,8985,11500,,,3909,,,,,,,,
0288584,2011-12,1,Separated,0,0,Middle School,Middle School,Off Campus,3000,,1000,3670,9500,,,8670,8500,,,12001,8148,,,8858,,,,,,,,
0301468,2011-12,1,Single,23666,0,High School,Middle School,Off Campus,10500,,,7798,12500,,,11043,5250,,,6467,,,,,,,,,,,,
0301767,2011-12,1,Single,10551,13000,High School,High School,With Parent,4500,,,4712,5500,,,5000,7500,,,2096,,,,,,,,,,,,
0300422,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0268001,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304663,2011-12,1,Single,0,71856,High School,High School,With Parent,5500,,,6418,4500,,,5892,5250,,,,,,,,,,,,,,,
0260813,2011-12,1,Single,11000,21005,High School,High School,Off Campus,5500,,,5950,4700,,,4500,,,,,,,,,,,,,,,,
0304849,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278532,2011-12,1,Single,0,26767,Unknown,Unknown,Off Campus,,,,11588,,,,11040,4970,,,5738,3750,,,2040,,,,,,,,
0283573,2011-12,1,Single,0,0,Unknown,College,On Campus Housing,,,2223,12738,,,,13540,,,,13151,,,,13866,2750,,2000,13405,,,,
0299299,2011-12,1,Single,2065,32942,Middle School,Middle School,With Parent,3500,,,7862,,,,,,,,,,,,,,,,,,,,
0302704,2011-12,1,Single,0,18650,Unknown,Unknown,With Parent,,,,2025,,,,,,,,,,,,,,,,,,,,
0302077,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0303071,2011-12,1,Single,0,10488,Unknown,College,On Campus Housing,,,,11588,,,,,,,,,,,,,,,,,,,,
0298214,2011-12,1,Single,0,22451,Unknown,High School,With Parent,,,,2082,,,,,,,,,,,,,,,,,,,,
0302900,2011-12,1,Single,2497,17304,High School,High School,With Parent,3500,,,11588,,,,,4500,,,4721,,,,,,,,,,,,
0298985,2011-12,1,Single,0,50034,Middle School,Middle School,With Parent,5500,,,4906,4500,,,7020,3250,,,2364,7500,,,1380,7500,,,,,,,
0300865,2011-12,1,Single,5405,106261,High School,High School,With Parent,8228,,,,,,,,,,,,,,,,,,,,,,,
0289804,2011-12,1,Single,0,63123,Middle School,High School,Off Campus,5500,,,5032,,,,,2326,,,,,,,,,,,,,,,
