StudentID,Cohort,CohortTerm,Term,AcademicYear,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,Complete2,CompleteCIP1,CompleteCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA
300304,2011-12,1,1,2015-16,0,-2,9.0101,-1,0,0,-2,-2,-1,6,3.33,2.77
299369,2011-12,1,1,2015-16,0,0,52.1401,-1,0,0,-2,-2,-1,6,3.52,3.44
299788,2011-12,1,1,2015-16,0,0,52.0301,-1,0,0,-2,-2,-1,6,3.08,2.45
302134,2011-12,1,1,2015-16,0,0,42.0101,-1,7,0,42.0101,-2,-1,6,3.43,3.34
294970,2011-12,1,1,2015-16,-2,-2,52.1401,-1,8,0,52.1401,-2,-1,6,3.68,3.39
300895,2011-12,1,1,2015-16,0,0,26.0101,-1,0,0,-2,-2,-1,6,3.38,2.89
299456,2011-12,1,1,2015-16,0,0,52.0201,-1,0,0,-2,-2,-1,6,3.34,3
297755,2011-12,1,1,2015-16,-2,0,52.0301,-1,0,0,-2,-2,-1,6,1.67,2.11
299668,2011-12,1,1,2015-16,-2,-2,51,-1,0,0,-2,-2,-1,6,2.44,2.68
304552,2011-12,1,1,2015-16,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,3,2.83
299408,2011-12,1,1,2015-16,-2,0,52.0201,-1,0,0,-2,-2,-1,6,1.85,2.57
303428,2011-12,1,1,2015-16,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,3.7,2.88
303599,2011-12,1,1,2015-16,-2,-2,52.0201,52.1401,0,0,-2,-2,-1,6,2.75,2.34
299020,2011-12,1,1,2015-16,0,0,43.0199,-1,0,0,-2,-2,-1,6,1.65,2.53
268879,2011-12,1,1,2015-16,-2,-2,51.3899,-1,0,0,-2,-2,-1,6,4,4
298895,2011-12,1,1,2015-16,-2,0,52.0301,-1,0,0,-2,-2,-1,6,1.33,1.88
299243,2011-12,1,1,2015-16,0,0,52.1401,-1,0,0,-2,-2,-1,6,2.14,2.33
297218,2011-12,1,1,2015-16,-2,0,26.0101,-1,0,0,-2,-2,-1,6,3.33,3.27
299086,2011-12,1,1,2015-16,0,0,52.0301,-1,0,0,-2,-2,-1,6,3.48,3.16
301309,2011-12,1,1,2015-16,0,0,26.0101,-1,0,0,-2,-2,-1,6,1.38,2.49
302533,2011-12,1,1,2015-16,0,0,42.0101,43.0199,0,0,-2,-2,-1,6,2.45,2.72
294406,2011-12,1,1,2015-16,0,0,45.1001,-1,0,0,-2,-2,-1,6,2.24,2.02
304905,2011-12,1,1,2015-16,0,0,52.0201,-1,0,0,-2,-2,-1,6,3.6,3.28
299495,2011-12,1,1,2015-16,-2,0,11.0101,-1,0,0,-2,-2,-1,6,4,3.92
298966,2011-12,1,1,2015-16,0,0,42.0101,-1,0,0,-2,-2,-1,6,3.78,3.37
299583,2011-12,1,1,2015-16,0,0,54.0101,-1,0,0,-2,-2,-1,6,3.2,2.97
304216,2011-12,1,1,2015-16,-2,-2,26.0101,-1,7,0,26.0101,-2,-1,6,2.3,2.49
297839,2011-12,1,1,2015-16,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,1.9,2.5
301106,2011-12,1,1,2015-16,0,0,42.0101,-1,0,0,-2,-2,-1,6,2.95,2.94
299655,2011-12,1,1,2015-16,0,0,27.0101,-1,0,0,-2,-2,-1,6,3.61,3.13
298959,2011-12,1,1,2015-16,0,-2,50.0701,-1,0,0,-2,-2,-1,6,4,3.8
305255,2011-12,1,1,2015-16,-2,-2,40.0801,-1,0,0,-2,-2,-1,6,3.75,3.27
301764,2011-12,1,1,2015-16,0,0,52.0301,-1,0,0,-2,-2,-1,6,3.67,3.6
302827,2011-12,1,1,2015-16,1,-2,50.0901,-1,0,0,-2,-2,-1,6,2.82,2.7
299554,2011-12,1,1,2015-16,-2,-2,40.0501,-1,0,0,-2,-2,-1,6,0.25,3.03
302354,2011-12,1,1,2015-16,0,0,42.0101,-1,0,0,-2,-2,-1,6,3.25,3.13
305204,2011-12,1,1,2015-16,-2,-2,50.0701,-1,0,0,-2,-2,-1,6,3.43,2.56
297251,2011-12,1,1,2015-16,0,0,42.0101,43.0199,0,0,-2,-2,-1,6,3.38,3.32
260331,2011-12,1,1,2015-16,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3.88,3.55
303232,2011-12,1,1,2015-16,0,0,42.0101,-1,0,0,-2,-2,-1,6,3.08,3.25
301130,2011-12,1,1,2015-16,-2,0,26.0101,-1,0,0,-2,-2,-1,6,1.86,3.02
300416,2011-12,1,1,2015-16,0,0,52.0201,-1,0,0,-2,-2,-1,6,3.48,3.43
298934,2011-12,1,1,2015-16,0,0,11.0101,-1,0,0,-2,-2,-1,6,3.18,2.82
295509,2011-12,1,1,2015-16,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,3,2.72
291040,2011-12,1,1,2015-16,-2,-2,54.0101,13.1001,7,0,54.0101,-2,-1,6,4,3.62
304223,2011-12,1,1,2015-16,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,2.85,2.38
303486,2011-12,1,1,2015-16,-2,-2,27.0101,-1,0,0,-2,-2,-1,6,1.7,3.15
283573,2011-12,1,1,2015-16,-2,-2,23.0101,-1,0,0,-2,-2,-1,6,2.93,3.28
302077,2011-12,1,1,2015-16,-2,-2,50.0701,-1,7,0,50.0701,-2,-1,6,3.73,3.28
298985,2011-12,1,1,2015-16,0,0,43.0399,-1,0,0,-2,-2,-1,6,3.68,2.93
300664,2011-12,1,1,2015-16,0,0,54.0101,-1,0,0,-2,-2,-1,6,3.73,3.05
303060,2011-12,1,1,2015-16,0,0,52.0301,-1,0,0,-2,-2,-1,6,3,2.9
301271,2011-12,1,1,2015-16,0,0,43.0199,-1,0,0,-2,-2,-1,6,3,1.39
302547,2011-12,1,1,2015-16,0,-2,23.0101,-1,0,0,-2,-2,-1,6,3,3.18
297388,2011-12,1,1,2015-16,-2,0,26.0101,-1,0,0,-2,-2,-1,6,3.55,3.59
301787,2011-12,1,1,2015-16,0,0,43.0199,-1,8,0,43.0199,-2,-1,6,3.52,3.36
301745,2011-12,1,1,2015-16,-2,0,26.0101,-1,0,0,-2,-2,-1,6,1.82,2.13
297161,2011-12,1,1,2015-16,0,-2,26.0101,-1,0,0,-2,-2,-1,6,3.69,3.64
304604,2011-12,1,1,2015-16,-2,-2,50.0701,-1,0,0,-2,-2,-1,6,3.7,3.71
282486,2011-12,1,1,2015-16,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,2.18,2.06
304674,2011-12,1,1,2015-16,-2,-2,13.1209,-1,0,0,-2,-2,-1,6,2.2,2.65
303769,2011-12,1,1,2015-16,0,0,26.0101,-1,0,0,-2,-2,-1,6,2.56,2.49
294946,2011-12,1,1,2015-16,0,0,42.0101,-1,0,0,-2,-2,-1,6,3.46,3.24
300544,2011-12,1,1,2015-16,0,0,23.0101,-1,0,0,-2,-2,-1,6,3.75,3.11
301696,2011-12,1,1,2015-16,0,0,52.0201,-1,0,0,-2,-2,-1,6,2.57,2.82
299570,2011-12,1,1,2015-16,0,0,50.0701,-1,0,0,-2,-2,-1,6,3.5,3.56
43733,2011-12,1,1,2015-16,0,0,43.0399,43.0199,0,0,-2,-2,-1,6,2.93,2.59
298780,2011-12,1,1,2015-16,0,0,52.0301,-1,0,0,-2,-2,-1,6,2.78,2.98
304741,2011-12,1,1,2015-16,0,0,45.1101,-1,0,0,-2,-2,-1,6,3.25,3.08
298102,2011-12,1,1,2015-16,0,0,43.0203,-1,0,0,-2,-2,-1,6,3.13,1.92
302398,2011-12,1,1,2015-16,0,0,43.0199,-1,0,0,-2,-2,-1,6,3.34,2.76
302870,2011-12,1,1,2015-16,0,0,42.0101,-1,0,0,-2,-2,-1,6,3.43,3.37
300964,2011-12,1,1,2015-16,0,0,54.0101,-1,0,0,-2,-2,-1,6,3.53,3.32
301530,2011-12,1,1,2015-16,-2,0,43.0399,-1,0,0,-2,-2,-1,6,4,2.9
298929,2011-12,1,1,2015-16,0,0,52.0201,-1,0,0,-2,-2,-1,6,2.72,2.83
302550,2011-12,1,1,2015-16,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,0,1.95
299962,2011-12,1,1,2015-16,0,0,52.0201,-1,8,0,52.0201,-2,-1,6,3.2,3.58
281128,2011-12,1,1,2015-16,0,-2,52.0301,-1,0,0,-2,-2,-1,6,2.75,2.66
276902,2011-12,1,1,2015-16,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,2.36,2.13
301316,2011-12,1,1,2015-16,-2,0,42.0101,-1,7,0,42.0101,-2,-1,6,3.73,3.07
298954,2011-12,1,1,2015-16,0,0,54.0101,-1,7,0,54.0101,-2,-1,6,3.8,3.73
296527,2011-12,1,1,2015-16,0,0,42.0101,-1,7,0,42.0101,-2,-1,6,3.94,3.77
296824,2011-12,1,1,2015-16,0,0,26.0101,-1,0,0,-2,-2,-1,6,2.61,2.74
301597,2011-12,1,1,2015-16,0,0,26.0101,-1,0,0,-2,-2,-1,6,3.21,3.13
283839,2011-12,1,1,2015-16,0,0,23.0101,-1,0,0,-2,-2,-1,6,3.77,3.27
300953,2011-12,1,1,2015-16,0,-2,26.0101,-1,0,0,-2,-2,-1,6,2.18,2.5
303786,2011-12,1,1,2015-16,-2,-2,27.0101,-1,0,0,-2,-2,-1,6,2.85,2.18
304862,2011-12,1,1,2015-16,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,2.8,2.23
298740,2011-12,1,1,2015-16,0,0,43.0399,-1,8,0,43.0399,-2,-1,6,3.94,3.07
280240,2011-12,1,1,2015-16,0,0,26.0101,-1,0,0,-2,-2,-1,6,1.14,1.67
298868,2011-12,1,1,2015-16,0,0,27.0101,-1,0,0,-2,-2,-1,6,4,3.94
301695,2011-12,1,1,2015-16,-2,-2,23.0101,-1,7,0,23.0101,-2,-1,6,3.65,2.68
301345,2011-12,1,1,2015-16,0,0,43.0203,-1,8,0,43.0203,-2,-1,6,4,3.03
300305,2011-12,1,1,2015-16,-2,0,26.0101,-1,0,0,-2,-2,-1,6,0.91,2.32
