StudentID,Cohort,CohortTerm,Term,AcademicYear,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,Complete2,CompleteCIP1,CompleteCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA
21868,2014-15,1,6,2016-17,-2,-2,23.0101,-1,7,0,23.0101,-2,-1,6,4,3.82
25142,2016-17,1,6,2016-17,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,3.5,3.05
28229,2016-17,1,6,2016-17,-2,-2,51.3899,-1,8,0,51.3899,-2,-1,6,3.45,3.22
32718,2016-17,3,6,2016-17,-1,-1,24.0102,-1,0,0,-2,-2,-1,6,3.85,3.95
36082,2013-14,3,6,2016-17,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3.7,3.14
37218,2015-16,1,6,2016-17,-2,-2,52.0301,-1,8,0,52.0301,-2,-1,6,3.3,3.13
44496,2013-14,1,6,2016-17,0,0,27.0101,13.1001,0,0,-2,-2,-1,6,3,2.72
44757,2016-17,1,6,2016-17,-2,-2,13.1001,-1,0,0,-2,-2,-1,6,4,2.57
63766,2016-17,1,6,2016-17,-2,-2,16.0905,-1,0,0,-2,-2,-1,6,3.3,3.02
67421,2015-16,3,6,2016-17,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,4,3.98
69563,2016-17,3,6,2016-17,-1,-1,51.3801,-1,0,0,-2,-2,-1,6,4,3.66
70833,2015-16,3,6,2016-17,-2,-2,51.3801,-1,8,0,51.3801,-2,-1,6,3.28,3.07
72528,2013-14,1,6,2016-17,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,3.7,2.9
73979,2015-16,1,6,2016-17,0,-2,43.0203,-1,0,0,-2,-2,-1,6,0,3.78
78472,2016-17,1,6,2016-17,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,4,2.8
82094,2015-16,1,6,2016-17,-2,-2,51.3801,-1,8,0,51.3801,-2,-1,6,3.3,3.69
82707,2014-15,1,6,2016-17,0,0,43.0399,-1,0,0,-2,-2,-1,6,4,2.59
82810,2015-16,1,6,2016-17,-2,-2,23.0101,-1,0,0,-2,-2,-1,6,2,3.26
84495,2013-14,1,6,2016-17,0,0,42.0101,-1,0,0,-2,-2,-1,6,3.7,3.08
86667,2016-17,3,6,2016-17,-1,-1,26.0101,-1,0,0,-2,-2,-1,6,3,1.06
87767,2011-12,1,6,2016-17,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,4,3.3
88237,2014-15,1,6,2016-17,-2,0,52.0201,52.1401,0,0,-2,-2,-1,6,3.5,3.75
92333,2016-17,1,6,2016-17,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,4,3.52
92847,2013-14,1,6,2016-17,-2,-2,16.0905,13.1209,0,0,-2,-2,-1,6,4,3.84
93624,2014-15,1,6,2016-17,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,3,3.17
94504,2014-15,1,6,2016-17,-1,-1,26.0101,-1,0,0,-2,-2,-1,6,2,3.23
95109,2016-17,1,6,2016-17,-2,-2,51.3899,-1,8,0,51.3899,-2,-1,6,3.9,3.88
102573,2015-16,3,6,2016-17,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.7,3.8
103021,2012-13,3,6,2016-17,0,0,45.1101,-1,0,0,-2,-2,-1,6,0,1.15
137622,2014-15,3,6,2016-17,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.7,3.32
237369,2016-17,3,6,2016-17,-1,-1,26.0101,-1,0,0,-2,-2,-1,6,3.7,2
240224,2014-15,1,6,2016-17,-2,-2,51.3801,-1,8,0,51.3801,-2,-1,6,3.7,3.75
241388,2015-16,3,6,2016-17,-2,-2,52.1401,-1,0,0,-2,-2,-1,6,2.7,2.71
243396,2016-17,1,6,2016-17,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,3.7,3.66
247678,2015-16,1,6,2016-17,-2,-2,42.0101,-1,7,0,42.0101,-2,-1,6,4,3.63
248890,2016-17,3,6,2016-17,-1,-1,52.0301,52.1401,0,0,-2,-2,-1,6,3,3.55
249048,2016-17,3,6,2016-17,-1,-1,13.1209,-1,0,0,-2,-2,-1,6,4,3.16
249357,2015-16,1,6,2016-17,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,0,3.82
250418,2014-15,1,6,2016-17,-2,-2,43.0203,-1,0,0,-2,-2,-1,6,4,4
253778,2014-15,1,6,2016-17,-2,-2,42.0101,43.0199,7,0,42.0101,-2,-1,6,3.3,2.61
257648,2016-17,1,6,2016-17,-2,-2,45.1101,-1,0,0,-2,-2,-1,6,3.7,3.52
258122,2016-17,1,6,2016-17,-2,-2,51.3899,-1,8,0,51.3899,-2,-1,6,3.84,3.58
260459,2016-17,3,6,2016-17,0,-2,26.0101,-1,0,0,-2,-2,-1,6,3.7,3.78
261868,2013-14,3,6,2016-17,-2,-2,42.0101,-1,0,0,-2,-2,-1,6,0,2.38
262629,2016-17,1,6,2016-17,-2,-2,51.0999,-1,0,0,-2,-2,-1,6,3,3.07
263096,2016-17,1,6,2016-17,0,-2,13.1209,-1,0,0,-2,-2,-1,6,1.7,2.26
264718,2015-16,3,6,2016-17,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,4,3.54
265066,2013-14,1,6,2016-17,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,2,3.17
266890,2016-17,1,6,2016-17,-2,-2,51,-1,0,0,-2,-2,-1,6,4,3.58
266954,2014-15,3,6,2016-17,-2,-2,26.0101,-1,7,0,26.0101,-2,-1,6,3,2.42
268157,2016-17,3,6,2016-17,-1,-1,45.1101,-1,0,0,-2,-2,-1,6,4,3.6
268235,2015-16,1,6,2016-17,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,0,2.6
269165,2013-14,1,6,2016-17,-2,-2,43.0199,-1,8,0,43.0199,-2,-1,6,1,2.34
269294,2015-16,3,6,2016-17,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,3.7,3.81
269794,2015-16,1,6,2016-17,-2,-2,43.0399,-1,0,0,-2,-2,-1,6,3.3,3.41
270502,2015-16,1,6,2016-17,-2,-2,51.3801,-1,8,0,51.3801,-2,-1,6,4,3.7
270610,2014-15,3,6,2016-17,-2,-2,52.0801,-1,8,0,52.0801,-2,-1,6,3.7,3.25
270665,2012-13,3,6,2016-17,0,0,38.0101,-1,7,0,38.0101,-2,-1,6,3.85,3.71
271675,2014-15,3,6,2016-17,-2,-2,52.1401,-1,0,0,-2,-2,-1,6,3.5,2.95
271694,2014-15,1,6,2016-17,-2,-2,51.3801,-1,8,0,51.3801,-2,-1,6,4,2.76
273539,2015-16,1,6,2016-17,-2,-2,-1,-1,0,0,-2,-2,-1,6,3.7,3.7
273955,2014-15,3,6,2016-17,-2,-2,51,-1,8,0,51,-2,-1,6,0,3.82
276542,2016-17,3,6,2016-17,-1,-1,50.0701,-1,0,0,-2,-2,-1,6,4,4
277043,2014-15,1,6,2016-17,-2,-2,42.0101,13.1209,0,0,-2,-2,-1,6,4,3.17
277179,2016-17,1,6,2016-17,-2,-2,51.0999,-1,0,0,-2,-2,-1,6,3,1.12
277196,2011-12,1,6,2016-17,-2,-2,51.3801,-1,0,0,-2,-2,-1,6,4,3.5
